text,drug,drug_start,drug_end,effect,effect_start,effect_end,label
Aspirin treats pain).,aspirin,0,7,headache,-1,-1,No-Relation
"This
means it would match sentences such as ”We
hypothesize that aspirin can alleviate most
cases of headache”, if the token ”hypothesize”
is in the list of speculative cues, ”aspirin” is
marked as a drug and is subject, ”headache”
is a disease and predicate, and ”alleviate” is a
trigger word.",aspirin,65,72,headache,101,109,Adverse
"For instance, in Figure
1, ”Hypersensitivity,” ”Hypersensitivity to,” and ”Hypersensitivity to aspirin” represent
spans of different lengths.",aspirin,95,102,dizziness,-1,-1,No-Relation
"Input Sentence
Initial Span Graph
Final Span Graph
#1: Despite the low dosage of warfarin, interna-
tional normalized ratio (INR) was markedly el-
evated from 1.15 to 11.28 for only 4 days, and
bleeding symptoms concurrently developed.",warfarin,81,89,bleeding,194,202,Adverse
"English translation: “AKI
with anuria; dd (combination of) pre-renal (infection + enalapril,
doxazosine and furosemide), TIN (ampho B, voriconazole, amoxicillin),
contrast nephropathy)”.",amoxicillin,149,160,dizziness,-1,-1,No-Relation
"• Warfarin-associated bleeding complication saved life
• Acute pulmonary reactions to nitrofurantoin are an uncommon side effect of therapy
and can cause minor or life-threatening pulmonary dysfunction.",warfarin,2,10,bleeding,22,30,Adverse
"Biomedical texts are written in formal
register with technically correct medical terms (for example ‘non-insulin
dependent diabetes mellitus’), grammar and punctuation.",insulin,105,112,abdominal pain,-1,-1,No-Relation
"In the ﬁrst example, initially, there is no edge
between the node “bleeding symptoms” and the
node “warfarin”, probably because of the distance
between their corresponding spans in the original
input sentence.",warfarin,100,108,bleeding,67,75,Adverse
"Or it may instead out-
put: Side effects of aspirin include cramping and
stomach pain, and pain in the chest.",aspirin,44,51,fever,-1,-1,No-Relation
"Performance of stroke risk scores in older people
with atrial fibrillation not taking warfarin: comparative cohort study from BAFTA trial.",warfarin,86,94,headache,-1,-1,No-Relation
"We realized that the task definition in our prompt should be as exact as
possible (e.g., three directly consecutive hashtags instead of three
consecutive hashtags) and preferably with an example (e.g., for product
event combination: “Aspirin|Rash”).",aspirin,234,241,rash,242,246,Adverse
"Target population
Present the results in the following form:
- Per item use a new line with the format: 'item: hit(s)'
- List multiple hits separated by semi-colon
- When you do not find an entry fill the field with 'None'
- When you find a product combination (PEC, PIC, PDC) separate Drug /
Device from the other Adverse Event, Indication, or Dose term by a pipe
character (e.g., 'Aspirin|Rash')
- List all items with preceding numbers
- Stop generating after the list is complete
Input text:
“###After TACE for intrahepatic metastasis, localized CCRT (45 Gy over
5 weeks with conventional fractionation and hepatic artery infusional
chemotherapy using 5-fluorouracil as a radiosensitizer, administered
during the first and fifth weeks of radiotherapy) was used to treat main
HCC with PVT.###”
2.4 Reproducibility Experiments
Reproducibility is of paramount importance for production use of AI
models in a regulated environment.",aspirin,383,390,rash,391,395,Adverse
